Category: All categories

City,pho: (11/23/16 - 11/23/17)
Federal Way,100
Tacoma,86
Anchorage,83
Seattle,79
Everett,73
San Jose,67
Santa Ana,67
Bellevue,64
Aurora,62
Honolulu,60
Denver,59
Spring Valley,55
Oakland,51
San Diego,50
Portland,50
Reno,49
Arlington,46
Fresno,46
Cypress,46
Paradise,43
New Orleans,43
Irvine,42
Sacramento,40
San Francisco,40
Houston,40
Oklahoma City,40
Riverside,39
Arlington,38
Hunters Creek Village,38
Wichita,36
Austin,36
Saint Paul,35
Long Beach,35
Los Angeles,34
Fort Worth,34
Washington,33
Salt Lake City,33
San Antonio,31
Virginia Beach,31
Boston,30
Colorado Springs,30
El Paso,29
Las Vegas,29
Dallas,29
Phoenix,29
Cleveland,28
Minneapolis,27
Philadelphia,25
Raleigh,24
Jacksonville,20
