Category: All categories

City,pho: (11/23/16 - 11/23/17)
Vancouver,100
Richmond,98
New Westminster,97
Port Coquitlam,90
Burnaby,85
Maple Ridge,82
Niagara Falls,81
Coquitlam,81
Grande Prairie,80
Delta,77
Chilliwack,76
Calgary,73
Surrey,73
Vernon,72
Edmonton,68
Ottawa,66
Langley,61
Nanaimo,60
North Vancouver,60
Newmarket,59
Airdrie,58
Victoria,56
Hamilton,55
Toronto,52
Saint Catharines,52
Markham,49
Kitchener,49
Barrie,49
Milton,48
Windsor,48
Vaughan,48
Mississauga,48
Winnipeg,44
Pickering,42
Montreal,41
Gatineau,40
Red Deer,38
Kelowna,38
Richmond Hill,36
Ajax,35
Abbotsford,34
Oakville,34
Waterloo,34
Brampton,34
Burlington,33
Guelph,32
Cambridge,30
Dartmouth,28
Regina,21
London,21
