Category: All categories

Week,ramen: (Canada),pho: (Canada)
2016-11-27,44,71
2016-12-04,44,74
2016-12-11,44,73
2016-12-18,51,86
2016-12-25,55,92
2017-01-01,56,100
2017-01-08,50,84
2017-01-15,53,77
2017-01-22,50,78
2017-01-29,51,77
2017-02-05,47,72
2017-02-12,53,76
2017-02-19,66,80
2017-02-26,54,76
2017-03-05,56,80
2017-03-12,56,79
2017-03-19,50,69
2017-03-26,53,75
2017-04-02,52,73
2017-04-09,57,72
2017-04-16,54,70
2017-04-23,53,71
2017-04-30,52,72
2017-05-07,49,67
2017-05-14,52,71
2017-05-21,49,74
2017-05-28,50,66
2017-06-04,46,63
2017-06-11,50,64
2017-06-18,48,70
2017-06-25,50,68
2017-07-02,49,73
2017-07-09,52,74
2017-07-16,51,75
2017-07-23,51,75
2017-07-30,53,76
2017-08-06,59,79
2017-08-13,57,75
2017-08-20,52,72
2017-08-27,58,77
2017-09-03,61,82
2017-09-10,57,77
2017-09-17,59,78
2017-09-24,60,78
2017-10-01,61,77
2017-10-08,64,87
2017-10-15,76,86
2017-10-22,72,87
2017-10-29,70,91
2017-11-05,71,86
2017-11-12,74,92
2017-11-19,65,86
