Category: All categories

Week,ramen: (Canada),pho: (Canada)
2012-11-25,19,39
2012-12-02,16,36
2012-12-09,15,34
2012-12-16,16,34
2012-12-23,19,47
2012-12-30,20,50
2013-01-06,19,36
2013-01-13,19,37
2013-01-20,16,36
2013-01-27,18,32
2013-02-03,15,32
2013-02-10,17,34
2013-02-17,19,40
2013-02-24,18,36
2013-03-03,17,33
2013-03-10,16,35
2013-03-17,18,38
2013-03-24,20,35
2013-03-31,14,35
2013-04-07,16,36
2013-04-14,15,35
2013-04-21,16,35
2013-04-28,15,33
2013-05-05,15,33
2013-05-12,15,34
2013-05-19,17,36
2013-05-26,16,35
2013-06-02,15,36
2013-06-09,15,34
2013-06-16,15,32
2013-06-23,16,34
2013-06-30,16,34
2013-07-07,16,36
2013-07-14,17,33
2013-07-21,28,32
2013-07-28,20,35
2013-08-04,23,38
2013-08-11,22,39
2013-08-18,21,37
2013-08-25,21,38
2013-09-01,22,43
2013-09-08,19,37
2013-09-15,19,41
2013-09-22,21,38
2013-09-29,21,39
2013-10-06,22,37
2013-10-13,20,43
2013-10-20,17,42
2013-10-27,17,41
2013-11-03,21,42
2013-11-10,19,42
2013-11-17,18,41
2013-11-24,19,40
2013-12-01,15,36
2013-12-08,19,43
2013-12-15,21,42
2013-12-22,19,52
2013-12-29,24,58
2014-01-05,25,46
2014-01-12,22,44
2014-01-19,20,44
2014-01-26,22,45
2014-02-02,19,37
2014-02-09,21,45
2014-02-16,22,46
2014-02-23,18,44
2014-03-02,18,45
2014-03-09,20,44
2014-03-16,19,45
2014-03-23,22,44
2014-03-30,23,42
2014-04-06,20,44
2014-04-13,23,44
2014-04-20,25,43
2014-04-27,22,46
2014-05-04,21,41
2014-05-11,21,42
2014-05-18,19,44
2014-05-25,18,41
2014-06-01,21,42
2014-06-08,21,45
2014-06-15,22,39
2014-06-22,22,39
2014-06-29,22,46
2014-07-06,18,42
2014-07-13,19,43
2014-07-20,24,45
2014-07-27,26,45
2014-08-03,26,44
2014-08-10,24,44
2014-08-17,26,44
2014-08-24,27,46
2014-08-31,23,47
2014-09-07,26,47
2014-09-14,26,49
2014-09-21,24,46
2014-09-28,22,52
2014-10-05,23,46
2014-10-12,25,48
2014-10-19,24,52
2014-10-26,27,44
2014-11-02,27,51
2014-11-09,26,49
2014-11-16,27,51
2014-11-23,23,51
2014-11-30,25,48
2014-12-07,22,48
2014-12-14,22,53
2014-12-21,30,56
2014-12-28,41,73
2015-01-04,38,54
2015-01-11,34,49
2015-01-18,33,50
2015-01-25,33,51
2015-02-01,34,50
2015-02-08,32,48
2015-02-15,35,50
2015-02-22,30,49
2015-03-01,30,53
2015-03-08,32,53
2015-03-15,33,53
2015-03-22,29,47
2015-03-29,31,48
2015-04-05,30,49
2015-04-12,28,46
2015-04-19,29,50
2015-04-26,30,47
2015-05-03,30,43
2015-05-10,33,52
2015-05-17,31,48
2015-05-24,30,44
2015-05-31,33,50
2015-06-07,27,42
2015-06-14,29,42
2015-06-21,29,50
2015-06-28,31,54
2015-07-05,28,49
2015-07-12,27,52
2015-07-19,29,55
2015-07-26,32,49
2015-08-02,32,55
2015-08-09,34,58
2015-08-16,30,57
2015-08-23,37,56
2015-08-30,35,58
2015-09-06,31,57
2015-09-13,36,56
2015-09-20,35,56
2015-09-27,35,61
2015-10-04,32,56
2015-10-11,34,59
2015-10-18,30,56
2015-10-25,32,55
2015-11-01,33,59
2015-11-08,39,61
2015-11-15,34,62
2015-11-22,33,58
2015-11-29,32,54
2015-12-06,31,56
2015-12-13,35,57
2015-12-20,40,61
2015-12-27,49,82
2016-01-03,43,68
2016-01-10,38,63
2016-01-17,43,60
2016-01-24,44,62
2016-01-31,39,59
2016-02-07,36,60
2016-02-14,44,70
2016-02-21,40,58
2016-02-28,39,62
2016-03-06,39,62
2016-03-13,43,61
2016-03-20,41,65
2016-03-27,39,60
2016-04-03,39,60
2016-04-10,35,59
2016-04-17,34,57
2016-04-24,40,63
2016-05-01,35,53
2016-05-08,36,57
2016-05-15,41,59
2016-05-22,43,58
2016-05-29,38,53
2016-06-05,37,56
2016-06-12,40,59
2016-06-19,36,60
2016-06-26,41,62
2016-07-03,38,64
2016-07-10,37,62
2016-07-17,37,62
2016-07-24,37,63
2016-07-31,42,67
2016-08-07,37,61
2016-08-14,42,59
2016-08-21,47,62
2016-08-28,49,69
2016-09-04,50,70
2016-09-11,44,69
2016-09-18,48,71
2016-09-25,44,71
2016-10-02,43,69
2016-10-09,44,79
2016-10-16,46,73
2016-10-23,48,84
2016-10-30,51,79
2016-11-06,49,75
2016-11-13,51,78
2016-11-20,47,79
2016-11-27,44,75
2016-12-04,43,75
2016-12-11,46,77
2016-12-18,50,83
2016-12-25,52,90
2017-01-01,59,100
2017-01-08,54,85
2017-01-15,56,79
2017-01-22,52,79
2017-01-29,48,79
2017-02-05,46,80
2017-02-12,57,78
2017-02-19,67,86
2017-02-26,58,77
2017-03-05,58,78
2017-03-12,58,77
2017-03-19,53,75
2017-03-26,55,75
2017-04-02,51,73
2017-04-09,59,76
2017-04-16,53,72
2017-04-23,54,75
2017-04-30,52,76
2017-05-07,52,70
2017-05-14,55,69
2017-05-21,53,77
2017-05-28,49,71
2017-06-04,45,68
2017-06-11,50,68
2017-06-18,52,68
2017-06-25,50,74
2017-07-02,51,76
2017-07-09,54,78
2017-07-16,50,78
2017-07-23,51,79
2017-07-30,54,80
2017-08-06,57,77
2017-08-13,59,75
2017-08-20,57,76
2017-08-27,61,79
2017-09-03,65,84
2017-09-10,60,78
2017-09-17,61,78
2017-09-24,57,79
2017-10-01,62,83
2017-10-08,67,89
2017-10-15,75,86
2017-10-22,72,87
2017-10-29,69,92
2017-11-05,69,87
