Category: All categories

City,ramen: (11/23/16 - 11/23/17)
Vancouver,100
Richmond,87
Burnaby,75
Coquitlam,50
Markham,50
New Westminster,45
Toronto,43
North Vancouver,43
Guelph,40
Victoria,38
Calgary,37
Kamloops,36
Richmond Hill,36
Montreal,29
Delta,29
Edmonton,28
Surrey,27
St. John's,26
Waterloo,25
Langley,25
Mississauga,24
Ottawa,22
Québec City,22
Halifax,22
Vaughan,20
Kelowna,19
London,17
Winnipeg,17
Oakville,17
Hamilton,16
Saskatoon,15
Brampton,15
Longueuil,15
Kitchener,14
Windsor,13
Gatineau,13
Laval,12
Regina,11
