Category: All categories

Week,ramen: (United States),pho: (United States)
2016-11-27,68,75
2016-12-04,67,77
2016-12-11,70,75
2016-12-18,71,90
2016-12-25,77,89
2017-01-01,81,100
2017-01-08,76,82
2017-01-15,74,80
2017-01-22,70,74
2017-01-29,68,72
2017-02-05,63,73
2017-02-12,66,74
2017-02-19,79,75
2017-02-26,74,70
2017-03-05,71,70
2017-03-12,71,69
2017-03-19,68,68
2017-03-26,67,68
2017-04-02,64,64
2017-04-09,68,65
2017-04-16,62,63
2017-04-23,66,64
2017-04-30,61,60
2017-05-07,66,65
2017-05-14,64,66
2017-05-21,65,63
2017-05-28,69,67
2017-06-04,67,65
2017-06-11,67,65
2017-06-18,68,64
2017-06-25,71,67
2017-07-02,74,72
2017-07-09,77,64
2017-07-16,76,69
2017-07-23,78,69
2017-07-30,78,68
2017-08-06,79,69
2017-08-13,76,68
2017-08-20,76,66
2017-08-27,74,64
2017-09-03,77,67
2017-09-10,72,66
2017-09-17,76,70
2017-09-24,74,70
2017-10-01,78,71
2017-10-08,78,72
2017-10-15,84,75
2017-10-22,79,73
2017-10-29,86,81
2017-11-05,90,86
2017-11-12,86,80
2017-11-19,87,88
