Category: All categories

Region,ramen: (11/23/16 - 11/23/17),pho: (11/23/16 - 11/23/17)
Hawaii,100,55
Washington,39,80
Alaska,22,68
Colorado,31,59
Vermont,22,51
California,47,47
Nevada,39,43
District of Columbia,32,43
New York,40,13
Oregon,38,38
Texas,28,38
Louisiana,13,32
Maryland,23,32
Virginia,21,31
Utah,31,31
Arizona,22,30
Oklahoma,27,28
Illinois,28,15
Massachusetts,26,27
Rhode Island,27,17
Minnesota,24,26
New Jersey,25,13
Connecticut,20,24
Kansas,23,16
New Mexico,23,23
Missouri,22,12
Idaho,21,19
Georgia,19,21
Wisconsin,21,14
Nebraska,21,14
Delaware,20,12
Pennsylvania,19,17
Florida,16,18
North Carolina,15,18
Indiana,17,10
Maine,16,11
Ohio,16,13
Tennessee,16,13
Iowa,15,16
North Dakota,16,6
Wyoming,16,12
Arkansas,14,16
Michigan,16,12
Montana,16,14
South Carolina,15,9
South Dakota,15,9
Kentucky,15,9
New Hampshire,14,11
West Virginia,12,10
Alabama,12,11
Mississippi,11,8
