Category: All categories

Week,ramen: (United States),pho: (United States)
2012-11-25,26,50
2012-12-02,26,44
2012-12-09,25,41
2012-12-16,25,43
2012-12-23,28,53
2012-12-30,33,56
2013-01-06,29,48
2013-01-13,28,46
2013-01-20,30,46
2013-01-27,30,44
2013-02-03,27,42
2013-02-10,27,42
2013-02-17,28,45
2013-02-24,25,41
2013-03-03,27,44
2013-03-10,26,40
2013-03-17,25,43
2013-03-24,29,43
2013-03-31,27,39
2013-04-07,31,40
2013-04-14,28,38
2013-04-21,27,38
2013-04-28,26,39
2013-05-05,26,37
2013-05-12,25,35
2013-05-19,28,37
2013-05-26,29,39
2013-06-02,27,37
2013-06-09,28,37
2013-06-16,28,38
2013-06-23,29,38
2013-06-30,32,39
2013-07-07,29,38
2013-07-14,30,39
2013-07-21,32,39
2013-07-28,34,41
2013-08-04,38,42
2013-08-11,37,41
2013-08-18,43,40
2013-08-25,39,40
2013-09-01,37,43
2013-09-08,39,38
2013-09-15,39,42
2013-09-22,34,43
2013-09-29,40,42
2013-10-06,38,45
2013-10-13,35,45
2013-10-20,34,47
2013-10-27,35,46
2013-11-03,36,49
2013-11-10,37,49
2013-11-17,34,48
2013-11-24,33,46
2013-12-01,30,45
2013-12-08,33,47
2013-12-15,37,46
2013-12-22,36,53
2013-12-29,39,61
2014-01-05,38,55
2014-01-12,38,50
2014-01-19,38,51
2014-01-26,38,50
2014-02-02,36,47
2014-02-09,34,48
2014-02-16,32,47
2014-02-23,34,50
2014-03-02,38,47
2014-03-09,34,45
2014-03-16,34,47
2014-03-23,38,48
2014-03-30,35,47
2014-04-06,34,43
2014-04-13,35,44
2014-04-20,34,43
2014-04-27,33,41
2014-05-04,33,43
2014-05-11,34,42
2014-05-18,36,44
2014-05-25,39,44
2014-06-01,39,41
2014-06-08,34,44
2014-06-15,37,44
2014-06-22,38,42
2014-06-29,42,43
2014-07-06,40,44
2014-07-13,53,47
2014-07-20,47,47
2014-07-27,44,47
2014-08-03,46,47
2014-08-10,46,47
2014-08-17,46,48
2014-08-24,41,43
2014-08-31,45,46
2014-09-07,42,45
2014-09-14,43,47
2014-09-21,44,46
2014-09-28,43,48
2014-10-05,42,49
2014-10-12,41,50
2014-10-19,41,51
2014-10-26,39,49
2014-11-02,41,54
2014-11-09,43,57
2014-11-16,42,55
2014-11-23,40,50
2014-11-30,41,54
2014-12-07,42,52
2014-12-14,41,53
2014-12-21,44,60
2014-12-28,52,72
2015-01-04,47,60
2015-01-11,48,58
2015-01-18,48,57
2015-01-25,46,52
2015-02-01,43,50
2015-02-08,43,49
2015-02-15,42,55
2015-02-22,42,53
2015-03-01,52,55
2015-03-08,41,50
2015-03-15,43,49
2015-03-22,42,49
2015-03-29,42,48
2015-04-05,43,50
2015-04-12,40,47
2015-04-19,42,49
