Category: All categories

City,ramen: (11/23/16 - 11/23/17)
Honolulu,100
Santa Monica,68
Yonkers,67
Berkeley,62
San Francisco,60
Oakland,57
Portland,51
Los Angeles,51
Austin,50
San Diego,48
Cambridge,47
Seattle,45
New York,42
Gainesville,41
San Jose,40
Irvine,40
Jersey City,40
Paradise,38
Arlington,38
Denver,33
Sacramento,33
Oklahoma City,33
Las Vegas,33
Salt Lake City,32
Madison,31
Kansas City,31
Chicago,31
Long Beach,30
Boston,29
Houston,29
Minneapolis,28
Pittsburgh,27
Baltimore,26
Washington,25
St. Louis,25
San Antonio,24
Philadelphia,24
Milwaukee,23
Fort Worth,23
Albuquerque,22
Omaha,20
Dallas,19
Columbus,19
Nashville,19
Phoenix,18
Tampa,18
Atlanta,17
Indianapolis,15
Orlando,14
Miami,13
