Category: All categories

Week,Ramen: (Atlanta GA),Pho: (Atlanta GA)
2016-12-04,65,88
2016-12-11,59,78
2016-12-18,57,100
2016-12-25,64,99
2017-01-01,72,99
2017-01-08,66,91
2017-01-15,57,86
2017-01-22,64,84
2017-01-29,60,96
2017-02-05,57,91
2017-02-12,60,82
2017-02-19,69,87
2017-02-26,65,82
2017-03-05,72,78
2017-03-12,62,88
2017-03-19,66,86
2017-03-26,57,80
2017-04-02,62,62
2017-04-09,56,75
2017-04-16,63,76
2017-04-23,49,80
2017-04-30,62,74
2017-05-07,53,78
2017-05-14,58,79
2017-05-21,70,76
2017-05-28,55,91
2017-06-04,64,86
2017-06-11,85,79
2017-06-18,69,88
2017-06-25,69,89
2017-07-02,72,99
2017-07-09,68,93
2017-07-16,70,95
2017-07-23,75,79
2017-07-30,69,83
2017-08-06,84,86
2017-08-13,65,77
2017-08-20,72,72
2017-08-27,78,75
2017-09-03,65,86
2017-09-10,62,92
2017-09-17,81,74
2017-09-24,77,80
2017-10-01,73,91
2017-10-08,73,88
2017-10-15,87,88
2017-10-22,80,87
2017-10-29,97,88
2017-11-05,66,97
2017-11-12,80,92
2017-11-19,68,91
2017-11-26,67,74
