Category: All categories

Week,Ramen: (British Columbia),Pho: (British Columbia)
2016-12-04,57,75
2016-12-11,55,79
2016-12-18,72,94
2016-12-25,72,94
2017-01-01,62,100
2017-01-08,65,88
2017-01-15,59,79
2017-01-22,62,84
2017-01-29,58,84
2017-02-05,57,81
2017-02-12,71,83
2017-02-19,81,70
2017-02-26,63,82
2017-03-05,70,77
2017-03-12,71,73
2017-03-19,64,86
2017-03-26,64,79
2017-04-02,62,82
2017-04-09,70,73
2017-04-16,65,74
2017-04-23,63,76
2017-04-30,57,68
2017-05-07,51,69
2017-05-14,59,75
2017-05-21,59,63
2017-05-28,63,75
2017-06-04,61,70
2017-06-11,53,71
2017-06-18,55,71
2017-06-25,61,66
2017-07-02,53,70
2017-07-09,50,73
2017-07-16,71,73
2017-07-23,60,65
2017-07-30,61,62
2017-08-06,59,78
2017-08-13,73,73
2017-08-20,67,89
2017-08-27,65,73
2017-09-03,75,89
2017-09-10,73,85
2017-09-17,85,95
2017-09-24,76,90
2017-10-01,70,83
2017-10-08,85,91
2017-10-15,98,86
2017-10-22,80,83
2017-10-29,76,92
2017-11-05,79,92
2017-11-12,83,93
2017-11-19,70,80
2017-11-26,65,95
