Category: All categories

Week,Ramen: (Chicago IL),Pho: (Chicago IL)
2016-12-04,63,36
2016-12-11,61,31
2016-12-18,54,39
2016-12-25,74,40
2017-01-01,84,50
2017-01-08,79,47
2017-01-15,65,35
2017-01-22,67,37
2017-01-29,64,42
2017-02-05,59,36
2017-02-12,68,39
2017-02-19,81,37
2017-02-26,71,39
2017-03-05,76,37
2017-03-12,67,30
2017-03-19,66,31
2017-03-26,70,33
2017-04-02,63,28
2017-04-09,63,30
2017-04-16,52,30
2017-04-23,62,33
2017-04-30,54,31
2017-05-07,60,31
2017-05-14,58,27
2017-05-21,61,32
2017-05-28,52,29
2017-06-04,59,29
2017-06-11,57,30
2017-06-18,61,30
2017-06-25,61,36
2017-07-02,67,37
2017-07-09,76,33
2017-07-16,75,29
2017-07-23,66,40
2017-07-30,67,32
2017-08-06,75,33
2017-08-13,69,35
2017-08-20,74,33
2017-08-27,68,26
2017-09-03,78,38
2017-09-10,71,31
2017-09-17,64,39
2017-09-24,66,36
2017-10-01,72,35
2017-10-08,70,35
2017-10-15,80,30
2017-10-22,100,41
2017-10-29,87,40
2017-11-05,94,36
2017-11-12,89,44
2017-11-19,81,35
2017-11-26,69,28
