Category: All categories

Week,Ramen: (Dallas-Ft. Worth TX),Pho: (Dallas-Ft. Worth TX)
2016-12-04,38,79
2016-12-11,43,73
2016-12-18,42,89
2016-12-25,43,79
2017-01-01,44,100
2017-01-08,43,83
2017-01-15,41,68
2017-01-22,33,65
2017-01-29,35,67
2017-02-05,39,64
2017-02-12,34,65
2017-02-19,43,64
2017-02-26,55,56
2017-03-05,39,68
2017-03-12,42,69
2017-03-19,36,53
2017-03-26,38,60
2017-04-02,35,59
2017-04-09,44,54
2017-04-16,44,64
2017-04-23,44,61
2017-04-30,39,65
2017-05-07,41,63
2017-05-14,37,64
2017-05-21,42,66
2017-05-28,44,67
2017-06-04,41,58
2017-06-11,45,61
2017-06-18,46,69
2017-06-25,47,69
2017-07-02,43,64
2017-07-09,46,64
2017-07-16,52,64
2017-07-23,57,68
2017-07-30,56,68
2017-08-06,51,65
2017-08-13,49,63
2017-08-20,46,63
2017-08-27,47,62
2017-09-03,51,62
2017-09-10,46,55
2017-09-17,54,59
2017-09-24,53,71
2017-10-01,47,56
2017-10-08,42,61
2017-10-15,53,70
2017-10-22,58,74
2017-10-29,57,73
2017-11-05,56,82
2017-11-12,60,87
2017-11-19,60,88
2017-11-26,57,81
