Category: All categories

Week,Ramen: (Denver CO),Pho: (Denver CO)
2016-12-04,27,87
2016-12-11,33,95
2016-12-18,38,95
2016-12-25,31,94
2017-01-01,40,96
2017-01-08,37,81
2017-01-15,44,82
2017-01-22,35,82
2017-01-29,33,75
2017-02-05,35,71
2017-02-12,40,72
2017-02-19,37,85
2017-02-26,35,76
2017-03-05,35,68
2017-03-12,37,70
2017-03-19,35,65
2017-03-26,42,85
2017-04-02,32,77
2017-04-09,27,72
2017-04-16,33,69
2017-04-23,38,73
2017-04-30,30,64
2017-05-07,31,70
2017-05-14,38,79
2017-05-21,34,73
2017-05-28,33,70
2017-06-04,36,63
2017-06-11,24,59
2017-06-18,32,67
2017-06-25,38,57
2017-07-02,34,66
2017-07-09,36,68
2017-07-16,34,57
2017-07-23,32,60
2017-07-30,36,72
2017-08-06,44,80
2017-08-13,34,65
2017-08-20,33,64
2017-08-27,28,66
2017-09-03,36,73
2017-09-10,35,64
2017-09-17,39,75
2017-09-24,47,100
2017-10-01,40,79
2017-10-08,40,81
2017-10-15,40,83
2017-10-22,48,82
2017-10-29,50,86
2017-11-05,46,89
2017-11-12,42,82
2017-11-19,34,86
2017-11-26,36,85
