Category: All categories

Week,Ramen: (Houston TX),Pho: (Houston TX)
2016-12-04,40,82
2016-12-11,37,75
2016-12-18,44,97
2016-12-25,38,100
2017-01-01,51,98
2017-01-08,41,83
2017-01-15,33,80
2017-01-22,38,78
2017-01-29,36,82
2017-02-05,27,72
2017-02-12,50,80
2017-02-19,56,77
2017-02-26,56,76
2017-03-05,38,73
2017-03-12,48,90
2017-03-19,42,68
2017-03-26,40,70
2017-04-02,39,65
2017-04-09,45,76
2017-04-16,38,71
2017-04-23,39,72
2017-04-30,34,70
2017-05-07,46,72
2017-05-14,39,74
2017-05-21,39,78
2017-05-28,40,74
2017-06-04,40,70
2017-06-11,38,72
2017-06-18,46,75
2017-06-25,46,78
2017-07-02,46,83
2017-07-09,49,80
2017-07-16,54,76
2017-07-23,58,66
2017-07-30,55,74
2017-08-06,54,78
2017-08-13,46,77
2017-08-20,40,59
2017-08-27,36,64
2017-09-03,51,73
2017-09-10,45,70
2017-09-17,41,68
2017-09-24,40,77
2017-10-01,46,86
2017-10-08,48,80
2017-10-15,45,85
2017-10-22,36,93
2017-10-29,39,79
2017-11-05,49,93
2017-11-12,52,79
2017-11-19,47,96
2017-11-26,46,90
