Category: All categories

Week,Ramen: (Las Vegas NV),Pho: (Las Vegas NV)
2016-12-04,46,66
2016-12-11,55,66
2016-12-18,79,80
2016-12-25,67,100
2017-01-01,61,82
2017-01-08,53,52
2017-01-15,53,72
2017-01-22,50,62
2017-01-29,39,65
2017-02-05,40,45
2017-02-12,43,54
2017-02-19,61,72
2017-02-26,46,54
2017-03-05,44,47
2017-03-12,34,46
2017-03-19,46,45
2017-03-26,48,54
2017-04-02,47,44
2017-04-09,52,57
2017-04-16,49,45
2017-04-23,37,45
2017-04-30,45,50
2017-05-07,36,55
2017-05-14,51,46
2017-05-21,54,56
2017-05-28,46,48
2017-06-04,49,54
2017-06-11,41,60
2017-06-18,47,52
2017-06-25,50,46
2017-07-02,55,63
2017-07-09,59,60
2017-07-16,60,64
2017-07-23,69,59
2017-07-30,67,40
2017-08-06,66,57
2017-08-13,61,52
2017-08-20,44,72
2017-08-27,46,50
2017-09-03,66,58
2017-09-10,50,55
2017-09-17,45,57
2017-09-24,60,61
2017-10-01,54,46
2017-10-08,56,47
2017-10-15,61,47
2017-10-22,69,67
2017-10-29,56,45
2017-11-05,78,53
2017-11-12,68,63
2017-11-19,72,67
2017-11-26,70,51
