Category: All categories

Week,Ramen: (Los Angeles CA),Pho: (Los Angeles CA)
2016-12-04,65,71
2016-12-11,66,75
2016-12-18,78,92
2016-12-25,78,89
2017-01-01,85,100
2017-01-08,76,76
2017-01-15,71,76
2017-01-22,70,74
2017-01-29,66,69
2017-02-05,58,68
2017-02-12,61,68
2017-02-19,75,69
2017-02-26,72,63
2017-03-05,62,57
2017-03-12,56,52
2017-03-19,60,57
2017-03-26,62,57
2017-04-02,64,49
2017-04-09,67,57
2017-04-16,58,56
2017-04-23,53,55
2017-04-30,55,50
2017-05-07,65,68
2017-05-14,61,57
2017-05-21,58,58
2017-05-28,66,60
2017-06-04,59,57
2017-06-11,63,58
2017-06-18,59,52
2017-06-25,64,56
2017-07-02,72,60
2017-07-09,66,55
2017-07-16,68,55
2017-07-23,70,58
2017-07-30,78,57
2017-08-06,69,55
2017-08-13,73,58
2017-08-20,72,56
2017-08-27,66,54
2017-09-03,69,53
2017-09-10,70,53
2017-09-17,77,72
2017-09-24,74,63
2017-10-01,65,59
2017-10-08,68,57
2017-10-15,76,62
2017-10-22,62,53
2017-10-29,80,76
2017-11-05,76,68
2017-11-12,80,73
2017-11-19,74,72
2017-11-26,78,73
