Category: All categories

Week,Ramen: (Miami-Ft. Lauderdale FL),Pho: (Miami-Ft. Lauderdale FL)
2016-12-04,70,69
2016-12-11,71,66
2016-12-18,47,63
2016-12-25,71,61
2017-01-01,75,70
2017-01-08,85,65
2017-01-15,54,71
2017-01-22,64,55
2017-01-29,64,70
2017-02-05,53,55
2017-02-12,53,51
2017-02-19,71,57
2017-02-26,59,65
2017-03-05,59,51
2017-03-12,78,50
2017-03-19,71,55
2017-03-26,76,46
2017-04-02,53,51
2017-04-09,67,51
2017-04-16,50,70
2017-04-23,50,54
2017-04-30,62,42
2017-05-07,45,51
2017-05-14,43,54
2017-05-21,63,49
2017-05-28,77,56
2017-06-04,80,47
2017-06-11,61,53
2017-06-18,76,75
2017-06-25,60,55
2017-07-02,98,93
2017-07-09,84,63
2017-07-16,94,50
2017-07-23,90,66
2017-07-30,100,69
2017-08-06,63,54
2017-08-13,71,76
2017-08-20,75,69
2017-08-27,77,52
2017-09-03,56,43
2017-09-10,64,52
2017-09-17,69,77
2017-09-24,68,48
2017-10-01,84,61
2017-10-08,75,65
2017-10-15,82,63
2017-10-22,64,48
2017-10-29,73,74
2017-11-05,81,59
2017-11-12,72,60
2017-11-19,80,48
2017-11-26,71,71
