Category: All categories

Week,Ramen: (Minneapolis-St. Paul MN),Pho: (Minneapolis-St. Paul MN)
2016-12-04,77,70
2016-12-11,63,56
2016-12-18,77,65
2016-12-25,72,71
2017-01-01,100,91
2017-01-08,79,75
2017-01-15,66,72
2017-01-22,79,70
2017-01-29,60,82
2017-02-05,77,71
2017-02-12,62,70
2017-02-19,76,72
2017-02-26,63,69
2017-03-05,71,73
2017-03-12,74,77
2017-03-19,71,74
2017-03-26,75,72
2017-04-02,71,54
2017-04-09,89,75
2017-04-16,70,78
2017-04-23,64,75
2017-04-30,69,63
2017-05-07,59,72
2017-05-14,78,60
2017-05-21,60,68
2017-05-28,61,65
2017-06-04,67,66
2017-06-11,75,67
2017-06-18,69,57
2017-06-25,83,58
2017-07-02,73,76
2017-07-09,71,60
2017-07-16,74,69
2017-07-23,62,70
2017-07-30,76,59
2017-08-06,72,68
2017-08-13,73,60
2017-08-20,70,68
2017-08-27,63,57
2017-09-03,62,66
2017-09-10,77,47
2017-09-17,79,68
2017-09-24,70,59
2017-10-01,70,77
2017-10-08,70,78
2017-10-15,66,77
2017-10-22,61,84
2017-10-29,73,81
2017-11-05,76,97
2017-11-12,91,67
2017-11-19,67,73
2017-11-26,68,66
