Category: All categories

Week,Ramen: (New York NY),Pho: (New York NY)
2016-12-04,73,22
2016-12-11,73,24
2016-12-18,71,26
2016-12-25,84,28
2017-01-01,80,30
2017-01-08,78,28
2017-01-15,76,24
2017-01-22,66,23
2017-01-29,69,23
2017-02-05,68,22
2017-02-12,71,24
2017-02-19,84,26
2017-02-26,77,21
2017-03-05,78,23
2017-03-12,79,21
2017-03-19,71,21
2017-03-26,71,25
2017-04-02,73,22
2017-04-09,70,17
2017-04-16,73,22
2017-04-23,66,21
2017-04-30,64,19
2017-05-07,70,20
2017-05-14,62,20
2017-05-21,74,22
2017-05-28,71,22
2017-06-04,70,20
2017-06-11,65,20
2017-06-18,61,22
2017-06-25,67,19
2017-07-02,68,21
2017-07-09,81,22
2017-07-16,68,21
2017-07-23,74,25
2017-07-30,70,23
2017-08-06,77,22
2017-08-13,74,23
2017-08-20,69,19
2017-08-27,82,23
2017-09-03,76,20
2017-09-10,76,19
2017-09-17,76,21
2017-09-24,73,21
2017-10-01,78,25
2017-10-08,83,21
2017-10-15,87,22
2017-10-22,81,23
2017-10-29,79,27
2017-11-05,100,29
2017-11-12,91,25
2017-11-19,84,28
2017-11-26,73,25
