Category: All categories

Week,Ramen: (Ontario),Pho: (Ontario)
2016-12-04,34,76
2016-12-11,37,74
2016-12-18,41,83
2016-12-25,44,91
2017-01-01,47,96
2017-01-08,39,78
2017-01-15,43,76
2017-01-22,43,78
2017-01-29,41,84
2017-02-05,37,78
2017-02-12,39,75
2017-02-19,61,88
2017-02-26,47,73
2017-03-05,44,86
2017-03-12,48,85
2017-03-19,46,71
2017-03-26,44,70
2017-04-02,42,71
2017-04-09,48,69
2017-04-16,43,70
2017-04-23,40,75
2017-04-30,46,69
2017-05-07,40,75
2017-05-14,38,67
2017-05-21,42,79
2017-05-28,37,71
2017-06-04,41,71
2017-06-11,37,60
2017-06-18,41,73
2017-06-25,39,82
2017-07-02,39,77
2017-07-09,46,86
2017-07-16,49,84
2017-07-23,46,77
2017-07-30,45,79
2017-08-06,52,87
2017-08-13,49,80
2017-08-20,45,69
2017-08-27,52,85
2017-09-03,53,84
2017-09-10,55,73
2017-09-17,47,70
2017-09-24,48,80
2017-10-01,43,86
2017-10-08,52,94
2017-10-15,61,87
2017-10-22,60,100
2017-10-29,67,98
2017-11-05,62,88
2017-11-12,61,94
2017-11-19,52,93
2017-11-26,53,82
