Category: All categories

Week,Ramen: (Philadelphia PA),Pho: (Philadelphia PA)
2016-12-04,64,74
2016-12-11,62,76
2016-12-18,56,78
2016-12-25,60,91
2017-01-01,79,100
2017-01-08,84,83
2017-01-15,73,87
2017-01-22,61,71
2017-01-29,60,58
2017-02-05,54,78
2017-02-12,77,84
2017-02-19,80,69
2017-02-26,75,71
2017-03-05,63,81
2017-03-12,57,67
2017-03-19,61,66
2017-03-26,56,79
2017-04-02,55,69
2017-04-09,56,58
2017-04-16,67,71
2017-04-23,50,57
2017-04-30,59,64
2017-05-07,77,72
2017-05-14,60,68
2017-05-21,55,74
2017-05-28,61,66
2017-06-04,61,64
2017-06-11,65,64
2017-06-18,64,66
2017-06-25,69,65
2017-07-02,58,75
2017-07-09,60,78
2017-07-16,70,57
2017-07-23,79,61
2017-07-30,86,77
2017-08-06,75,75
2017-08-13,79,76
2017-08-20,81,61
2017-08-27,82,69
2017-09-03,79,68
2017-09-10,75,59
2017-09-17,84,61
2017-09-24,66,71
2017-10-01,69,73
2017-10-08,66,78
2017-10-15,68,67
2017-10-22,77,74
2017-10-29,84,73
2017-11-05,74,96
2017-11-12,87,74
2017-11-19,88,83
2017-11-26,67,79
