Category: All categories

Week,Ramen: (Phoenix AZ),Pho: (Phoenix AZ)
2016-12-04,43,69
2016-12-11,44,71
2016-12-18,33,93
2016-12-25,47,81
2017-01-01,53,100
2017-01-08,48,73
2017-01-15,56,94
2017-01-22,52,71
2017-01-29,42,64
2017-02-05,40,69
2017-02-12,46,71
2017-02-19,50,77
2017-02-26,53,66
2017-03-05,46,64
2017-03-12,35,66
2017-03-19,39,62
2017-03-26,41,57
2017-04-02,40,74
2017-04-09,46,65
2017-04-16,45,64
2017-04-23,43,66
2017-04-30,40,56
2017-05-07,50,67
2017-05-14,36,61
2017-05-21,37,48
2017-05-28,60,62
2017-06-04,39,61
2017-06-11,53,64
2017-06-18,50,55
2017-06-25,53,59
2017-07-02,45,63
2017-07-09,65,61
2017-07-16,60,68
2017-07-23,63,66
2017-07-30,70,69
2017-08-06,59,65
2017-08-13,58,65
2017-08-20,55,61
2017-08-27,58,63
2017-09-03,58,54
2017-09-10,46,59
2017-09-17,51,70
2017-09-24,50,77
2017-10-01,55,68
2017-10-08,57,69
2017-10-15,60,64
2017-10-22,62,76
2017-10-29,56,86
2017-11-05,57,77
2017-11-12,60,67
2017-11-19,50,60
2017-11-26,42,71
