Category: All categories

Week,Ramen: (Portland OR),Pho: (Portland OR)
2016-12-04,48,68
2016-12-11,53,63
2016-12-18,62,71
2016-12-25,66,88
2017-01-01,78,100
2017-01-08,57,61
2017-01-15,62,70
2017-01-22,45,62
2017-01-29,49,60
2017-02-05,49,70
2017-02-12,53,76
2017-02-19,57,68
2017-02-26,60,60
2017-03-05,57,68
2017-03-12,47,64
2017-03-19,57,73
2017-03-26,54,74
2017-04-02,51,64
2017-04-09,52,62
2017-04-16,47,57
2017-04-23,67,53
2017-04-30,58,53
2017-05-07,44,47
2017-05-14,45,66
2017-05-21,41,57
2017-05-28,40,53
2017-06-04,44,50
2017-06-11,47,60
2017-06-18,38,45
2017-06-25,48,61
2017-07-02,40,64
2017-07-09,46,48
2017-07-16,45,69
2017-07-23,47,46
2017-07-30,50,49
2017-08-06,44,50
2017-08-13,52,55
2017-08-20,53,54
2017-08-27,52,58
2017-09-03,60,61
2017-09-10,56,62
2017-09-17,63,82
2017-09-24,62,71
2017-10-01,60,69
2017-10-08,58,77
2017-10-15,66,78
2017-10-22,78,63
2017-10-29,77,71
2017-11-05,83,71
2017-11-12,67,69
2017-11-19,56,75
2017-11-26,65,65
