Category: All categories

Week,Ramen: (Québec),Pho: (Québec)
2016-12-04,44,63
2016-12-11,51,69
2016-12-18,60,70
2016-12-25,56,82
2017-01-01,71,100
2017-01-08,66,83
2017-01-15,54,76
2017-01-22,48,60
2017-01-29,51,77
2017-02-05,42,73
2017-02-12,55,66
2017-02-19,73,72
2017-02-26,59,66
2017-03-05,58,63
2017-03-12,52,65
2017-03-19,54,64
2017-03-26,57,55
2017-04-02,46,51
2017-04-09,48,65
2017-04-16,44,61
2017-04-23,77,60
2017-04-30,63,57
2017-05-07,55,69
2017-05-14,40,64
2017-05-21,51,66
2017-05-28,45,66
2017-06-04,52,60
2017-06-11,48,57
2017-06-18,47,56
2017-06-25,52,70
2017-07-02,53,53
2017-07-09,46,62
2017-07-16,47,57
2017-07-23,40,79
2017-07-30,46,69
2017-08-06,60,77
2017-08-13,53,67
2017-08-20,51,83
2017-08-27,63,81
2017-09-03,64,90
2017-09-10,56,68
2017-09-17,64,68
2017-09-24,58,69
2017-10-01,65,79
2017-10-08,71,79
2017-10-15,79,90
2017-10-22,67,67
2017-10-29,69,83
2017-11-05,70,85
2017-11-12,79,86
2017-11-19,73,78
2017-11-26,58,88
