Category: All categories

Week,Ramen: (San Diego CA),Pho: (San Diego CA)
2016-12-04,49,82
2016-12-11,43,84
2016-12-18,50,87
2016-12-25,61,100
2017-01-01,64,96
2017-01-08,58,75
2017-01-15,57,76
2017-01-22,58,80
2017-01-29,39,68
2017-02-05,44,70
2017-02-12,53,70
2017-02-19,55,71
2017-02-26,58,81
2017-03-05,57,58
2017-03-12,46,61
2017-03-19,50,62
2017-03-26,49,61
2017-04-02,51,58
2017-04-09,45,69
2017-04-16,42,55
2017-04-23,39,62
2017-04-30,49,55
2017-05-07,60,71
2017-05-14,41,66
2017-05-21,57,61
2017-05-28,57,68
2017-06-04,50,59
2017-06-11,54,70
2017-06-18,60,60
2017-06-25,79,59
2017-07-02,68,62
2017-07-09,61,55
2017-07-16,56,60
2017-07-23,65,57
2017-07-30,64,60
2017-08-06,72,60
2017-08-13,67,67
2017-08-20,64,66
2017-08-27,50,54
2017-09-03,59,65
2017-09-10,45,68
2017-09-17,54,63
2017-09-24,50,70
2017-10-01,51,64
2017-10-08,59,64
2017-10-15,60,63
2017-10-22,60,59
2017-10-29,66,74
2017-11-05,81,79
2017-11-12,72,77
2017-11-19,62,63
2017-11-26,67,88
