Category: All categories

Week,Ramen: (San Francisco-Oakland-San Jose CA),Pho: (San Francisco-Oakland-San Jose CA)
2016-12-04,72,83
2016-12-11,71,79
2016-12-18,79,91
2016-12-25,86,100
2017-01-01,95,95
2017-01-08,83,78
2017-01-15,72,82
2017-01-22,68,72
2017-01-29,61,69
2017-02-05,68,63
2017-02-12,70,63
2017-02-19,86,76
2017-02-26,73,72
2017-03-05,76,65
2017-03-12,64,58
2017-03-19,66,62
2017-03-26,64,57
2017-04-02,73,61
2017-04-09,76,59
2017-04-16,71,59
2017-04-23,64,58
2017-04-30,57,46
2017-05-07,63,56
2017-05-14,69,59
2017-05-21,65,56
2017-05-28,72,63
2017-06-04,71,56
2017-06-11,68,59
2017-06-18,68,54
2017-06-25,68,64
2017-07-02,78,69
2017-07-09,79,58
2017-07-16,81,62
2017-07-23,84,56
2017-07-30,86,60
2017-08-06,90,62
2017-08-13,88,63
2017-08-20,83,58
2017-08-27,76,54
2017-09-03,76,59
2017-09-10,73,58
2017-09-17,68,70
2017-09-24,64,61
2017-10-01,69,64
2017-10-08,75,62
2017-10-15,84,71
2017-10-22,68,59
2017-10-29,93,86
2017-11-05,87,88
2017-11-12,86,77
2017-11-19,73,78
2017-11-26,84,73
