Category: All categories

Week,Ramen: (Seattle-Tacoma WA),Pho: (Seattle-Tacoma WA)
2016-12-04,28,68
2016-12-11,29,70
2016-12-18,28,82
2016-12-25,33,82
2017-01-01,34,100
2017-01-08,31,84
2017-01-15,30,73
2017-01-22,22,69
2017-01-29,29,73
2017-02-05,25,65
2017-02-12,29,67
2017-02-19,35,74
2017-02-26,34,68
2017-03-05,33,67
2017-03-12,33,67
2017-03-19,30,64
2017-03-26,31,71
2017-04-02,29,69
2017-04-09,30,64
2017-04-16,33,59
2017-04-23,29,63
2017-04-30,27,56
2017-05-07,26,56
2017-05-14,28,62
2017-05-21,27,48
2017-05-28,24,62
2017-06-04,26,54
2017-06-11,29,59
2017-06-18,26,56
2017-06-25,24,61
2017-07-02,29,63
2017-07-09,25,53
2017-07-16,37,60
2017-07-23,27,59
2017-07-30,26,49
2017-08-06,26,52
2017-08-13,28,59
2017-08-20,35,56
2017-08-27,29,48
2017-09-03,33,64
2017-09-10,34,57
2017-09-17,37,84
2017-09-24,37,68
2017-10-01,33,71
2017-10-08,34,79
2017-10-15,43,85
2017-10-22,31,72
2017-10-29,40,78
2017-11-05,39,85
2017-11-12,42,75
2017-11-19,33,71
2017-11-26,34,84
