,city,latitude,longitude,name,rank,rating,review_count
0,Atlanta,33.86495,-84.304981,pho-dai-loi-2-atlanta,0,4.0,833
1,Atlanta,33.7555787158321,-84.3893662792789,dua-vietnamese-atlanta,1,4.0,332
2,Atlanta,33.78006,-84.38811,pho-king-midtown-atlanta,2,4.0,78
3,Atlanta,33.8145314548803,-84.391232393682,pho-king-atlanta-6,3,3.5,234
4,Atlanta,33.86113,-84.30737,nam-phuong-atlanta,4,4.0,400
,city,latitude,longitude,name,rank,rating,review_count
0,Boston,42.3457679748535,-71.0873718261719,pho-basil-boston,0,4.0,890
1,Boston,42.3514122780359,-71.0627084970474,pho-pasteur-boston,1,3.5,1033
2,Boston,42.350983992219,-71.0614418238401,new-dong-khanh-boston,2,4.0,487
3,Boston,42.3491,-71.08341,beantown-pho-and-grill-boston-2,3,4.0,261
4,Boston,42.3523273,-71.1247024,pho-viets-boston-3,4,4.0,378
,city,latitude,longitude,name,rank,rating,review_count
0,Chicago,41.92228,-87.64465,fuh-chicago,0,4.0,318
1,Chicago,41.9731100981603,-87.65954048683,tank-noodle-chicago,1,4.0,1514
2,Chicago,41.973389,-87.655519,uptown-pho-chicago,2,4.5,217
3,Chicago,41.8818416049609,-87.6311031728983,green-apple-phoever-chicago-5,3,4.0,176
4,Chicago,41.923501,-87.6457,simply-it-chicago,4,4.0,781
,city,latitude,longitude,name,rank,rating,review_count
0,Dallas,32.8533972,-96.7696317,pho-is-for-lovers-dallas-2,0,3.5,388
1,Dallas,32.81266,-96.78421,dalat-vietnamese-restaurant-and-bar-dallas,1,3.5,540
2,Dallas,32.8087125407658,-96.7955411970462,pho-crimson-dallas-3,2,3.5,277
3,Dallas,32.95059,-96.80411,pho-dk-dallas,3,4.5,97
4,Dallas,32.8122423,-96.7624338,mot-hai-ba-dallas,4,4.0,284
,city,latitude,longitude,name,rank,rating,review_count
0,Denver,39.6910552978516,-105.025489807129,pho-95-denver,0,4.5,1064
1,Denver,39.74026,-104.98407,pho-natic-denver-2,1,4.0,424
2,Denver,39.69648,-105.02466,pho-96-denver,2,4.5,243
3,Denver,39.71098,-104.98073,pho-haus-denver-3,3,5.0,16
4,Denver,39.7255825,-104.971131,pho-on-6th-denver,4,3.0,438
,city,latitude,longitude,name,rank,rating,review_count
0,Houston,29.7451191,-95.3774719,pho-saigon-vietnamese-houston,0,4.0,697
1,Houston,29.7816248238087,-95.3896636515856,pho-binh-houston-17,1,4.0,260
2,Houston,29.7519133,-95.3551356,huynh-restaurant-houston,2,4.0,633
3,Houston,29.760415889082,-95.3616855293512,the-pho-spot-houston,3,5.0,23
4,Houston,29.7520265349605,-95.3919003752021,les-baget-vietnamese-café-houston-3,4,4.0,441
,city,latitude,longitude,name,rank,rating,review_count
0,Las Vegas,36.1261943318021,-115.193445287033,pho-kim-long-las-vegas,0,3.5,2577
1,Las Vegas,36.12654,-115.21309,viet-noodle-bar-las-vegas,1,4.5,701
2,Las Vegas,36.122404968799,-115.190958380699,pho-bosa-las-vegas-8,2,4.0,581
3,Las Vegas,36.1265982988176,-115.197783811045,pho-kinh-do-las-vegas-2,3,4.0,736
4,Las Vegas,36.1300621032715,-115.277671813965,sidestreet-pho-and-grill-las-vegas,4,4.5,454
,city,latitude,longitude,name,rank,rating,review_count
0,Los Angeles,34.0533378,-118.3089351,ktown-pho-los-angeles,0,4.5,284
1,Los Angeles,34.0572728932769,-118.307640589179,thank-u-pho-los-angeles,1,4.0,420
2,Los Angeles,34.067358,-118.2357778,pho-87-los-angeles,2,4.0,1113
3,Los Angeles,34.06012,-118.29128,simply-pho-you-los-angeles-2,3,4.0,735
4,Los Angeles,34.06323,-118.29702,pho-24-los-angeles,4,4.0,341
,city,latitude,longitude,name,rank,rating,review_count
0,Miami,25.6989235,-80.3823149,siam-bistro-miami,0,4.0,181
1,Miami,25.6825858416345,-80.313448251136,miss-saigon-bistro-pinecrest,1,4.0,307
2,Miami,25.7512718439102,-80.2576891332865,miss-saigon-bistro-coral-gables,2,3.5,184
3,Miami,25.6202555010309,-80.347032174468,pho-thang-restaurant-palmetto-bay,3,3.5,224
4,Miami,25.93248,-80.15386,phomi2go-north-miami-beach-2,4,4.5,247
,city,latitude,longitude,name,rank,rating,review_count
0,Minneapolis,44.953094,-93.277728,quang-restaurant-minneapolis,0,4.0,793
1,Minneapolis,44.96961,-93.27993,lotus-restaurant-minneapolis-3,1,4.5,565
2,Minneapolis,44.956333,-93.277473,pho-79-minneapolis,2,4.0,283
3,Minneapolis,44.9530173,-93.2780481,my-huong-kitchen-minneapolis,3,4.5,292
4,Minneapolis,44.9507294,-93.2775269,pho-tau-bay-minneapolis,4,4.0,183
,city,latitude,longitude,name,rank,rating,review_count
0,Montreal,45.50783,-73.55986,pho-bac-97-montréal-2,0,4.0,99
1,Montreal,45.53354,-73.60478,pho-tay-ho-montréal,1,4.0,124
2,Montreal,45.50832,-73.55998,pho-saigon-viet-nam-montréal-2,2,4.0,59
3,Montreal,45.499,-73.62758,pho-lien-montréal,3,4.0,112
4,Montreal,45.4919751393621,-73.6326880840633,sen-vang-montréal,4,4.5,42
,city,latitude,longitude,name,rank,rating,review_count
0,New York,40.72969,-74.000629,saigon-shack-new-york,0,4.0,1903
1,New York,40.717587,-73.9944029,pho-vietnam-new-york-2,1,4.0,334
2,New York,40.6814048,-73.9771062,5ive-spice-brooklyn-3,2,4.0,376
3,New York,40.7606166,-73.991225,obao-new-york-3,3,4.0,1422
4,New York,40.7289399955423,-74.0009501203895,hello-saigon-new-york,4,4.5,39
,city,latitude,longitude,name,rank,rating,review_count
0,Philadelphia,39.9367485046387,-75.1627578735352,pho-75-philadelphia-3,0,4.5,325
1,Philadelphia,39.9554199,-75.15465,pho-xe-lua-viet-thai-restaurant-philadelphia,1,4.0,565
2,Philadelphia,39.9343219239982,-75.1543271541595,pho-ha-philadelphia,2,4.0,419
3,Philadelphia,39.9364886,-75.1622139,nam-phuong-philadelphia,3,4.0,615
4,Philadelphia,39.93202,-75.14464,pho-saigon-philadelphia-6,4,4.0,349
,city,latitude,longitude,name,rank,rating,review_count
0,Phoenix,33.51011,-112.09602,pho-thanh-phoenix,0,4.0,666
1,Phoenix,33.4793425,-112.1517849,pho-43-phoenix-2,1,4.5,416
2,Phoenix,33.4887594999659,-112.082401841627,pho-noodles-phoenix,2,4.5,164
3,Phoenix,33.5038147,-112.1000349,davangs-phoenix,3,4.0,537
4,Phoenix,33.4780159,-112.254559,song-lynn-phoenix,4,4.5,215
,city,latitude,longitude,name,rank,rating,review_count
0,Portland,45.5170715600252,-122.675132229924,lúc-lác-portland-3,0,4.0,1845
1,Portland,45.4977027804404,-122.613812713786,pho-hung-portland,1,4.0,446
2,Portland,45.5403,-122.57853,pho-oregon-restaurant-portland,2,4.0,472
3,Portland,45.5189283292234,-122.67607302943,fresh-roll-vietnamese-street-food-portland-4,3,4.5,315
4,Portland,45.4850099999821,-122.757044136781,pho-nguyen-portland,4,4.0,142
,city,latitude,longitude,name,rank,rating,review_count
0,San Diego,32.8178259166498,-117.155763992829,phuong-trang-san-diego,0,4.0,1692
1,San Diego,32.75569,-117.09285,pho-hoa-san-diego,1,4.0,832
2,San Diego,32.7471601,-117.1602751,pho-fifth-avenue-san-diego,2,4.0,752
3,San Diego,32.8305571842402,-117.139001190662,pho-duyen-mai-san-diego,3,4.5,233
4,San Diego,32.7485625125977,-117.20348791597,pho-point-loma-and-grill-restaurant-san-diego,4,4.0,795
,city,latitude,longitude,name,rank,rating,review_count
0,San Francisco,37.763338,-122.477795,pho-huynh-hiep-2-kevins-noodle-house-san-francisco,0,4.0,1371
1,San Francisco,37.7945505827665,-122.405742555857,golden-star-vietnamese-restaurant-san-francisco,1,4.0,1067
2,San Francisco,37.7838859558105,-122.417869567871,pho-2000-san-francisco,2,4.0,619
3,San Francisco,37.7854958,-122.4130811,pho-tan-hoa-san-francisco,3,4.0,545
4,San Francisco,37.780772,-122.40568,tín-vietnamese-cuisine-san-francisco-3,4,4.0,1003
,city,latitude,longitude,name,rank,rating,review_count
0,Seattle,47.6256,-122.34926,pho-viet-anh-seattle,0,4.0,544
1,Seattle,47.6169506,-122.3310034,pho-bac-seattle-15,1,4.0,370
2,Seattle,47.598683,-122.323712,pho-ba-seattle-4,2,4.0,361
3,Seattle,47.6146521760056,-122.344533008587,local-pho-seattle,3,4.0,363
4,Seattle,47.668837642245,-122.38705422959,pho-big-bowl-seattle,4,4.0,367
,city,latitude,longitude,name,rank,rating,review_count
0,Tampa,28.0246937978056,-82.5076236702612,saigon-deli-tampa,0,4.5,455
1,Tampa,28.0660426,-82.5047,simply-pho-and-grill-tampa,1,4.5,154
2,Tampa,28.0254955291748,-82.5705337524414,thinh-an-kitchen-and-tofu-tampa-2,2,4.5,264
3,Tampa,27.9963481634871,-82.5787479115122,pho-quyen-tampa,3,4.0,291
4,Tampa,28.0248441825346,-82.5035042007319,pho-nhu-trang-tampa,4,4.0,81
