,city,latitude,longitude,name,rank,rating,review_count
0,Atlanta,33.8578,-84.38258,jinya-ramen-bar-atlanta-7,0,4.5,101
1,Atlanta,33.8005400945021,-84.4084578752518,ginya-izakaya-atlanta-4,1,4.0,231
2,Atlanta,33.9183699593665,-84.3773832515941,jinya-ramen-bar-sandy-springs,2,4.0,579
3,Atlanta,33.8191873432516,-84.3497106029716,hajime-atlanta-3,3,3.5,300
4,Atlanta,33.786349,-84.398266,wagaya-japanese-restaurant-westside-atlanta-4,4,4.0,336
0,Boston,42.3484762870602,-71.0854271426797,santouka-back-bay-boston-2,0,4.0,261
1,Boston,42.35097,-71.05715,amateras-boston,1,4.5,57
2,Boston,42.3722,-71.11582,hokkaido-ramen-santouka-cambridge-2,2,4.0,750
3,Boston,42.343347,-71.1234952,ganko-ittetsu-ramen-brookline,3,4.0,343
4,Boston,42.3524485,-71.1254097,pikaichi-allston,4,4.0,547
0,Chicago,41.9195063,-87.6915015,ramen-wasabi-chicago,0,4.0,1363
1,Chicago,41.9099682732075,-87.6766849586083,furious-spoon-wicker-park-chicago,1,4.0,947
2,Chicago,41.9087291,-87.6751408,kizuki-ramen-and-izakaya-chicago,2,4.0,369
3,Chicago,41.883651,-87.648968,high-five-ramen-chicago-4,3,4.0,533
4,Chicago,41.889798,-87.630293,ramen-san-chicago,4,3.5,1187
0,Dallas,32.81241,-96.76976,wabi-house-dallas,0,4.0,698
1,Dallas,32.7693609001565,-96.8353253702893,ten-ramen-dallas,1,4.0,440
2,Dallas,32.815181,-96.82769,ichiro-ramen-shop-dallas,2,4.0,202
3,Dallas,32.7846857,-96.7828322,oni-ramen-dallas,3,4.0,79
4,Dallas,32.782839214071,-96.7836612847252,tanoshii-ramen-and-bar-dallas,4,3.0,510
0,Denver,39.7621349,-105.0133389,uncle-denver,0,4.0,850
1,Denver,39.75954,-104.98609,osaka-ramen-denver,1,4.0,292
2,Denver,39.7618827819824,-105.03401184082,seras-ramen-enclave-denver-2,2,4.0,169
3,Denver,39.7398648818036,-104.982504062355,tycoon-ramen-and-sushi-denver,3,4.0,141
4,Denver,39.74716,-104.99429,menya-noodle-bar-denver,4,4.0,225
0,Houston,29.7428606,-95.379739,jinya-ramen-bar-houston-3,0,4.5,1825
1,Houston,29.7433,-95.39833,ramen-tatsu-ya-houston,1,3.5,465
2,Houston,29.7473652487174,-95.6050845980644,ramen-bar-ichi-houston,2,4.5,298
3,Houston,29.7884065,-95.4678997,tamashi-ramen-and-sushi-houston-6,3,4.0,114
4,Houston,29.7764846,-95.4112293,samurai-noodle-houston,4,4.0,466
0,Las Vegas,36.1263223,-115.2099104,monta-ramen-las-vegas-2,0,4.0,2269
1,Las Vegas,36.126455,-115.201851,ramen-sora-las-vegas,1,4.0,1161
2,Las Vegas,36.1156749,-115.2069525,jinya-ramen-bar-las-vegas,2,4.0,1153
3,Las Vegas,36.10063,-115.11752,fukumimi-ramen-las-vegas,3,4.0,732
4,Las Vegas,36.1277049709772,-115.224054036517,ramen-tatsu-las-vegas,4,4.5,388
0,Los Angeles,34.049999,-118.24007,daikokuya-little-tokyo-los-angeles,0,4.0,7184
1,Los Angeles,34.0573614429986,-118.306769744705,slurpin-ramen-bar-los-angeles,1,4.5,1920
2,Los Angeles,34.0837107,-118.3446759,tatsu-ramen-los-angeles-4,2,4.0,2170
3,Los Angeles,34.0835268538041,-118.273676509195,silverlake-ramen-los-angeles,3,4.0,2272
4,Los Angeles,34.0049599,-118.43359,hokkaido-ramen-santouka-los-angeles,4,4.5,2041
0,Miami,25.7499753752716,-80.2608069693115,ichimi-coral-gables,0,4.0,386
1,Miami,25.76832,-80.190789,satsuma-shimuja-miami,1,4.0,164
2,Miami,25.7635371,-80.193277,momi-ramen-miami,2,3.0,539
3,Miami,25.71667,-80.2738,ohho-noodles-market-coral-gables,3,4.0,136
4,Miami,25.79526,-80.12884,k-ramen-burger-beer-miami-beach-5,4,4.0,138
0,Minneapolis,44.9410781860352,-93.2781982421875,ramen-kazama-minneapolis,0,4.0,241
1,Minneapolis,44.9534706557005,-93.278125129286,ichiddo-ramen-minneapolis,1,4.0,127
2,Minneapolis,44.9784334,-93.2596172,zen-box-izakaya-minneapolis,2,4.0,373
3,Minneapolis,44.9578176166667,-93.2423242562752,unideli-minneapolis,3,3.5,172
4,Minneapolis,44.9463219445807,-93.1366431930528,tori-ramen-saint-paul,4,4.0,149
0,Montreal,45.5212206164378,-73.578518757916,yokato-yokabai-montréal-3,0,4.5,248
1,Montreal,45.49601,-73.57487,kinton-ramen-montréal,1,4.0,116
2,Montreal,45.49263,-73.58101,ichifuku-montréal,2,3.5,76
3,Montreal,45.492971934241,-73.580088453534,kazu-montréal-2,3,4.5,546
4,Montreal,45.5184967,-73.5831113,ramen-ya-montréal-2,4,3.5,78
0,New York,40.7643285462369,-73.9876558773155,totto-ramen-new-york,0,4.0,4521
1,New York,40.730922,-73.990167,ippudo-east-village-new-york,1,4.0,9009
2,New York,40.763542,-73.986542,ippudo-westside-new-york,2,4.0,2853
3,New York,40.72412,-73.98288,minca-new-york,3,4.0,1496
4,New York,40.749927,-73.977462,momosan-ramen-and-sake-new-york-2,4,4.0,971
0,Philadelphia,39.9553986,-75.15448,terakawa-ramen-philadelphia,0,4.0,1003
1,Philadelphia,39.9534149169922,-75.1575012207031,yamitsuki-ramen-philadelphia,1,4.0,227
2,Philadelphia,39.95001,-75.158862,hiro-ramen-house-philadelphia,2,4.0,270
3,Philadelphia,39.9467949,-75.1577025,cheu-noodle-bar-philadelphia,3,4.0,662
4,Philadelphia,40.025762,-75.223853,ramen-philadelphia,4,4.0,54
0,Phoenix,33.44945,-112.07558,noodle-bar-phoenix,0,4.0,250
1,Phoenix,33.5098020415682,-112.061086646033,cherryblossom-noodle-cafe-phoenix,1,4.0,939
2,Phoenix,33.5828804,-112.1513951,yakiramen-phoenix,2,4.0,62
3,Tempe,33.3937812,-111.9085823,tampopo-ramen-tempe,3,4.0,456
4,Phoenix,33.4587456623854,-112.077205393404,sosoba-phoenix,4,3.5,123
0,Portland,45.5214296898768,-122.672522000093,marukin-ramen-portland-2,0,4.0,264
1,Portland,45.522407,-122.65937,marukin-ramen-portland,1,4.0,291
2,Portland,45.521744,-122.802035,kizuki-ramen-and-izakaya-portland-2,2,4.0,575
3,Portland,45.5502899,-122.66641,kayos-ramen-bar-portland,3,4.0,184
4,Portland,45.51602,-122.65904,afuri-portland-7,4,4.0,296
0,San Diego,32.8247046211958,-117.155484105488,rakiraki-ramen-and-tsukemen-san-diego,0,4.0,2227
1,San Diego,32.825531,-117.1544185,tajima-ramen-house-san-diego-10,1,4.0,3378
2,San Diego,32.83231,-117.14709,menya-ultra-san-diego,2,4.0,521
3,San Diego,32.8196793,-117.1499863,nishiki-ramen-san-diego,3,4.0,900
4,San Diego,32.8354843938435,-117.189094190625,ramen-yamadaya-san-diego,4,4.0,1158
0,San Francisco,37.7852337,-122.4315788,marufuku-ramen-san-francisco,0,4.5,604
1,San Francisco,37.7866908459856,-122.414326295257,mensho-tokyo-san-francisco-2,1,4.0,1135
2,San Francisco,37.763879,-122.47413,izakaya-sozai-san-francisco,2,4.0,1838
3,San Francisco,37.7861574638014,-122.430057115853,hinodeya-ramen-bar-san-francisco,3,4.0,423
4,San Francisco,37.78726,-122.41037,katana-ya-san-francisco,4,3.5,3863
0,Tampa,27.99498,-82.4592,ichicoro-ramen-tampa-2,0,4.0,699
1,Tampa,27.9446952044964,-82.498134970665,japanese-kitchen-dosunco-tampa,1,4.0,224
